Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,KT,김민혁,122,0.325,0.361,0.377,103.0,8.2,4.1,0.352,0.22,4,80.0,0.263,0.317,0.329,0.447,0.450,0.474,0.000,0.000,0.000
2025,KT,김상수,74,0.217,0.365,0.317,99.0,8.1,18.9,0.226,0.16,1,100.0,0.214,0.365,0.286,0.222,0.364,0.389,0.333,0.333,0.333
2025,KT,강백호,104,0.253,0.317,0.442,104.7,21.2,7.7,0.290,-0.41,0,0.0,0.276,0.344,0.552,0.216,0.275,0.270,0.667,0.667,1.667
2025,KT,안현민,11,0.182,0.182,0.455,49.8,9.1,0.0,0.111,0.00,0,,0.125,0.125,0.500,0.333,0.333,0.333,0.000,0.000,0.000
2025,KT,안치영,7,0.000,0.500,0.000,158.6,14.3,28.6,0.000,-0.43,0,0.0,0.000,0.500,0.000,0.000,0.500,0.000,,,
2025,KT,장준원,50,0.222,0.271,0.267,42.2,14.0,6.0,0.263,0.01,0,,0.160,0.192,0.200,0.300,0.364,0.350,0.000,0.333,0.000
2025,KT,송민섭,0,,,,,,,,,0,,,,,,,,,,
2025,KT,황재균,97,0.227,0.299,0.284,60.1,21.6,9.3,0.288,0.13,1,100.0,0.194,0.229,0.224,0.333,0.481,0.476,0.100,0.182,0.100
2025,KT,강현우,6,0.000,0.333,0.000,49.4,50.0,33.3,0.000,0.00,0,,0.000,0.333,0.000,,,,,,
2025,KT,강민성,0,,,,,,,,,0,,,,,,,,,,
2025,KT,문상철,72,0.226,0.319,0.339,85.1,22.2,11.1,0.283,-0.43,0,0.0,0.200,0.288,0.356,0.294,0.400,0.294,0.333,0.333,0.333
2025,KT,최성민,17,0.067,0.125,0.067,-66.9,29.4,5.9,0.100,0.17,1,100.0,0.000,0.000,0.000,0.250,0.400,0.250,0.000,0.000,0.000
2025,KT,배정대,111,0.206,0.262,0.320,52.0,26.1,4.5,0.275,-0.67,3,60.0,0.243,0.284,0.378,0.087,0.192,0.130,0.333,0.333,0.417
2025,KT,조대현,1,0.000,0.000,0.000,-139.6,0.0,0.0,0.000,,0,,,,,0.000,0.000,0.000,,,
2025,KT,윤준혁,6,0.000,0.000,0.000,-146.4,33.3,0.0,0.000,0.17,1,100.0,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,KT,오윤석,55,0.196,0.275,0.261,47.3,23.6,5.5,0.273,0.01,0,,0.188,0.257,0.219,0.214,0.313,0.357,0.333,0.429,0.333
2025,KT,장성우,122,0.176,0.273,0.265,45.0,24.6,12.3,0.216,0.01,0,,0.194,0.291,0.278,0.133,0.229,0.233,0.000,0.091,0.000
2025,KT,유준규,27,0.045,0.222,0.045,-14.7,29.6,18.5,0.071,0.16,1,100.0,0.000,0.192,0.000,1.000,1.000,1.000,0.000,0.000,0.000
2025,두산,양의지,117,0.286,0.385,0.449,144.7,15.4,13.7,0.317,0.01,0,,0.263,0.330,0.400,0.389,0.577,0.667,0.000,0.000,0.000
2025,두산,케이브,104,0.348,0.404,0.489,160.8,19.2,8.7,0.417,1.00,6,100.0,0.375,0.425,0.556,0.250,0.333,0.250,1.000,1.000,1.333
2025,두산,정수빈,137,0.289,0.393,0.342,122.3,8.0,13.1,0.311,-0.42,8,66.7,0.317,0.406,0.378,0.219,0.359,0.250,0.600,0.600,0.800
2025,두산,김인태,44,0.361,0.477,0.528,207.8,18.2,18.2,0.444,0.00,0,,0.364,0.488,0.515,0.333,0.333,0.667,0.500,0.500,0.500
2025,두산,양석환,128,0.259,0.328,0.429,113.0,28.1,7.0,0.333,-0.01,0,,0.236,0.307,0.416,0.348,0.407,0.478,0.200,0.429,0.200
2025,두산,김재환,101,0.271,0.386,0.435,140.7,18.8,13.9,0.318,0.00,0,,0.318,0.408,0.530,0.105,0.320,0.105,0.333,0.500,0.333
2025,두산,이유찬,33,0.300,0.364,0.400,117.2,18.2,9.1,0.375,0.46,3,100.0,0.200,0.238,0.200,0.500,0.583,0.800,0.000,0.000,0.000
2025,두산,박준영,92,0.259,0.341,0.358,103.8,28.3,9.8,0.382,0.17,1,100.0,0.239,0.311,0.328,0.357,0.471,0.500,0.000,0.000,0.000
2025,두산,강승호,127,0.202,0.276,0.307,60.7,31.5,7.9,0.297,0.08,3,75.0,0.202,0.261,0.310,0.200,0.314,0.300,0.500,0.500,0.500
2025,두산,김기연,51,0.295,0.347,0.432,120.2,23.5,7.8,0.375,0.01,0,,0.300,0.313,0.367,0.286,0.412,0.571,0.000,0.000,0.000
2025,두산,추재현,40,0.243,0.282,0.432,95.5,15.0,2.5,0.267,0.00,0,,0.261,0.292,0.478,0.214,0.267,0.357,,,
2025,두산,오명진,58,0.222,0.276,0.389,82.0,27.6,5.2,0.297,0.01,0,,0.205,0.271,0.318,0.300,0.300,0.700,0.250,0.250,0.750
2025,두산,김민혁,5,0.250,0.400,0.250,106.6,40.0,20.0,0.500,,0,,,1.000,,0.250,0.250,0.250,,,
2025,두산,여동건,2,0.000,0.000,0.000,-168.1,0.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,,,
2025,두산,박신지,0,,,,,,,,,0,,,,,,,,,,
2025,두산,홍민규,0,,,,,,,,,0,,,,,,,,,,
2025,두산,박준순,7,0.167,0.286,0.167,35.4,14.3,14.3,0.200,-0.43,0,0.0,0.200,0.333,0.200,0.000,0.000,0.000,,,
2025,두산,김동준,2,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,두산,장승현,2,0.000,0.000,0.000,-140.6,0.0,0.0,0.000,,0,,,,,0.000,0.000,0.000,,,
2025,두산,류현준,3,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,두산,조수행,41,0.171,0.256,0.171,17.4,24.4,9.8,0.240,0.73,7,87.5,0.167,0.231,0.167,0.182,0.308,0.182,0.500,0.500,0.500
2025,두산,전다민,4,0.000,0.000,0.000,-154.9,0.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,두산,박지훈,8,0.167,0.286,0.167,43.6,25.0,0.0,0.250,0.00,0,,0.000,0.200,0.000,0.500,0.500,0.500,0.000,0.000,0.000
2025,두산,박계범,62,0.200,0.254,0.291,45.6,29.0,6.5,0.297,0.01,0,,0.209,0.244,0.302,0.167,0.286,0.250,0.000,0.000,0.000
2025,두산,김민석,51,0.204,0.235,0.265,26.0,29.4,3.9,0.294,-0.43,0,0.0,0.209,0.227,0.279,0.167,0.286,0.167,0.333,0.333,0.333
2025,한화,노시환,133,0.269,0.346,0.555,137.7,22.6,8.3,0.288,0.40,5,83.3,0.263,0.314,0.525,0.282,0.404,0.615,0.167,0.167,0.167
2025,한화,이진영,67,0.328,0.403,0.534,158.1,25.4,10.4,0.425,-0.42,0,0.0,0.324,0.410,0.471,0.333,0.393,0.625,0.000,0.333,0.000
2025,한화,최재훈,68,0.261,0.424,0.283,120.3,8.8,16.2,0.273,-0.28,1,50.0,0.278,0.404,0.306,0.200,0.474,0.200,0.333,0.500,0.333
2025,한화,플로리얼,141,0.266,0.326,0.414,98.0,27.0,8.5,0.360,-0.91,5,62.5,0.231,0.282,0.372,0.320,0.393,0.480,0.500,0.500,0.500
2025,한화,하주석,19,0.278,0.316,0.389,88.3,36.8,5.3,0.455,0.00,0,,0.231,0.231,0.308,0.400,0.500,0.600,,,
2025,한화,문현빈,109,0.300,0.358,0.470,125.9,15.6,7.3,0.329,0.36,5,83.3,0.333,0.403,0.617,0.250,0.286,0.250,0.000,0.250,0.000
2025,한화,채은성,124,0.268,0.339,0.429,110.1,23.4,7.3,0.346,-0.70,0,0.0,0.227,0.301,0.333,0.351,0.415,0.622,0.200,0.200,0.400
